# amount, accuracy
9.965576886849000782e-02 8.212500000000000355e-01
1.893442482574369257e-01 8.287499999999999867e-01
2.700687320534557179e-01 8.625000000000000444e-01
3.427197684574677661e-01 8.412500000000000533e-01
4.081037031962688189e-01 8.475000000000000311e-01
4.669498153254211803e-01 8.362500000000000488e-01
5.199074629080965293e-01 8.349999999999999645e-01
5.675717719054876875e-01 8.337499999999999911e-01
6.104722188921808401e-01 8.187499999999999778e-01
6.490797668590478908e-01 8.337499999999999911e-01
6.838239911401871041e-01 8.287499999999999867e-01
7.150945065735015982e-01 8.312500000000000444e-01
7.432381131795424700e-01 8.375000000000000222e-01
7.685687862855576924e-01 8.437500000000000000e-01
7.913676765254918921e-01 8.262500000000000400e-01
8.118930999640355806e-01 8.237499999999999822e-01
8.303619850091052967e-01 8.275000000000000133e-01
8.469798427839906330e-01 8.299999999999999600e-01
8.619364856456188662e-01 8.299999999999999600e-01
8.753974642210843315e-01 8.100000000000000533e-01
8.875126303711188269e-01 8.087499999999999689e-01
8.984232729929840788e-01 8.074999999999999956e-01
9.082378562906383568e-01 8.262500000000000400e-01
9.170676987891969167e-01 8.162500000000000311e-01
9.250141288897261171e-01 8.312500000000000444e-01
9.321741935115571698e-01 8.162500000000000311e-01
9.386149692018747048e-01 8.162500000000000311e-01
9.444120954713340899e-01 8.199999999999999512e-01
9.496283673853846974e-01 8.137499999999999734e-01
9.543194442065843219e-01 8.149999999999999467e-01
9.585452666792256826e-01 7.950000000000000400e-01
9.623515039418175654e-01 7.974999999999999867e-01
9.657766893299766231e-01 7.900000000000000355e-01
9.688550746975846950e-01 7.924999999999999822e-01
9.716223390591015585e-01 7.924999999999999822e-01
9.741141614289873241e-01 7.824999999999999734e-01
9.763576578582315868e-01 7.500000000000000000e-01
9.783842258795590885e-01 7.662499999999999867e-01
9.802010012958618512e-01 7.512499999999999734e-01
9.818408088004429990e-01 7.275000000000000355e-01
9.833122113567730471e-01 7.149999999999999689e-01
9.846366163735278398e-01 6.962500000000000355e-01
9.858325769382267900e-01 6.999999999999999556e-01
9.869043745326049333e-01 6.600000000000000311e-01
9.878691350836030782e-01 6.925000000000000044e-01
9.887368487152700114e-01 6.962500000000000355e-01
9.895189327122330125e-01 6.925000000000000044e-01
9.902196685562272283e-01 2.812500000000000000e-01
9.908590364953503427e-01 5.949999999999999734e-01
9.914241920843965827e-01 5.937500000000000000e-01
